player,deck,won,lost,opp_deck,notes
Grant,Rb Midrange,2,0,5c Atraxa,
Grant,Rb Midrange,2,1,Ub Toxic,
Noah,White,2,0,Rb Midrange,
Grant,Rb Midrange,2,0,5c Atraxa,
Noah,White,2,1,Uw Humans,
Noah,White,1,2,Blue Tempo,
Grant,Rb Midrange,2,0,Blue Tempo,
Grant,Rb Midrange,0,2,Jund Midrange,
Grant,Rb Midrange,2,1,Rb Midrange,Burn/Midrange ?
Grant,Rb Midrange,0,2,White,
Grant,Rb Midrange,1,2,Esper Legends,
Grant,Rb Midrange,0,2,Uw Humans,
Grant,Rb Midrange,1,2,Red,
Grant,Rb Midrange,1,2,White,
Grant,Rb Midrange,2,0,White,
Grant,Rb Midrange,2,0,Uw Legends,"idk, he melded an urza then I drew 2 invoke despairs, lol"
Grant,Rb Midrange,2,0,Mardu Angels,
Noah,Esper,1,2,Red Aggro,Very fast 
Grant,Rb Midrange,1,2,Jund Midrange,
Grant,Rb Midrange,2,1,Grixis,"opponent did not seem to understand Razorlash Transmogrant, also G2 won because he was missing a color"
Grant,Rb Midrange,2,0,White,"Phyrexian Vindicator-flavored white, seemed very bad."
Grant,Rb Midrange,2,1,Uw Toxic,
Grant,Rb Midrange,2,0,Mardu,
Grant,Rb Midrange,2,1,Grixis,
Grant,Rb Midrange,2,1,Grixis,
Grant,Rb Midrange,2,1,Esper Legends,Superfriends
Noah,White,1,2,Bw Midrange,I think this deck is just tailored to beat mono white
Noah,White,2,0,White Aggro,
Noah,White ,2,1,Red,
Noah,White ,2,0,Rw Soldiers,Guy needs to Kill himself
Grant,Rb Midrange,0,2,Esper Legends,shit draws
Grant,Rb Midrange,1,2,Esper Legends,horrific misplays on my part
Grant,Rb Midrange,1,2,5c Atraxa,
Grant,Rb Midrange,0,2,5c Domain,wasn't feeling it
Grant,Rb Midrange,0,2,Grixis,
Grant,Rb Midrange,2,1,Grixis,I want to rip up every corpse appraiser
Grant,Rb Midrange,1,2,White,I think Rb sucks
Grant,Rb Midrange,1,2,Red Midrange,would have won if I knew how to draw cards
Noah,White ,0,2,Gw Toxic,Seems like a tough mu
Noah,White,1,2,Esper Vehicles,
Grant,Rb Midrange,2,1,Esper Midrange,"think it was midrange, not legends."
Grant,Rb Midrange,0,2,Rb Midrange,"absolutely terrible, miserable, no good, dogshit luck on this one."
Grant,Rb Midrange,0,2,White,they could train slugs to play this deck
Grant,Rb Midrange,2,0,5c Domain,invoke despair good closer
Grant,Rb Midrange,0,2,5c Atraxa,shit draws
Grant,Rb Midrange,1,2,White,shit draws
noah,White,2,0,Esper,wraths good
noah,White,1,2,Red Aggro,didnt draw lands
Noah,White,2,0,Grixis,Sucka Fucka Ding Dong
Noah,White,0,2,White,I boarded like a dummy
Noah,White,2,0,Esper,stone rained him 4x he rage quit lmao
Noah,White,2,0,5c Atraxa,This deck does not have enough threats to beat mono white. MU must be like 90/10  (Ramp)
Grant,Grixis Midrange,2,0,White,this feels way better to play
Grant,Grixis Midrange,2,1,White,I'm in love
Grant,Grixis Midrange,0,2,Esper,weird one
Grant,Grixis Midrange,0,2,Rb Midrange,"misclicked, also dude played circles around me"
Grant,Grixis Midrange,2,0,Rb Midrange,he was doing weird atushi stuff and missed lands g1.
Grant,Grixis Midrange,2,0,Gw Midrange,opp. not long for this world
Grant,Grixis Midrange,0,2,Black Aggro,"G1 no lands, G2 too many"
Grant,Grixis Midrange,2,1,Red Aggro,"G2 only had 2 lands, hard to win"
Grant,Grixis Midrange,1,2,5c Atraxa,
Grant,Grixis Midrange,2,1,Gw Toxic,Strange man
Grant,Grixis Midrange,2,0,5c Atraxa,"just get lucky with siphon insight, lol"
Grant,Grixis Midrange,0,2,Rb Aggro,
Noah,White,0,2,Blue Tempo,horrid mu. Added more instant speed removal in sb
Grant,Grixis Midrange,2,1,Grixis,"I totally misplayed, but he conceded anyway"
Noah,White,2,0,Esper,Ground that nerd to dust
Noah,White,1,2,Rg Aggro,Tough mu They play a lot of walkers and disenchants
Noah,White,0,2,Jund Midrange,Seems like a very bad deck
Noah,White,0,2,Blue Tempo,Awful player. But my new sb helped a lot 
Noah,White,1,0,Grixis Combo,Conceded Match 
Noah,White,2,1,Red Aggro,Mouth Breather 
Noah,White,2,0,Red Aggro,New sb crushing it. Roll Tide 
Noah,White,2,0,Jund Midrange,Jund bad deck?
Noah,White,2,0,Grixis,Easy
Noah,White,2,1,Jeskai Control,Mindsplice thing. Won with Mirrex tokens soild land in grindy mu's
