Player,Deck,Won,Lost,Opp. Deck,Notes
Grant,Rb Midrange,2,0,Atraxa,
Grant,Rb Midrange,2,1,UB Toxic,
Noah,White ,2,0,Rb ,
Grant,Rb Midrange,2,0,Atraxa,
Noah ,White ,2,1,Humans,
Noah ,White ,1,2,Blue Tempo,
Grant,Rb Midrange,2,0,Mono Blue Tempo,
Grant,Rb Midrange,0,2,Jund Midrange,
Grant,Rb Midrange,2,1,Rb Midrange,Burn/Midrange ?
Grant,Rb Midrange,0,2,White,
Grant,Rb Midrange,1,2,Esper Legends,
Grant,Rb Midrange,0,2,UW Humans,
Grant,Rb Midrange,1,2,Red,
Grant,Rb Midrange,1,2,White,
Grant,Rb Midrange,2,0,White,
Grant,Rb Midrange,2,0,UW Legends,"idk, he melded an urza then I drew 2 invoke despairs, lol"
Grant,Rb Midrange,2,0,Mardu Angels,
Noah,Esper ,1,2,Red,Very fast 
Grant,Rb Midrange,1,2,Jund Midrange,
Grant,Rb Midrange,2,1,Grixis,"opponent did not seem to understand Razorlash Transmogrant, also G2 won because he was missing a color"
Grant,Rb Midrange,2,0,White,"Phyrexian Vindicator-flavored white, seemed very bad."
Grant,Rb Midrange,2,1,UW Toxic,
Grant,Rb Midrange,2,0,Mardu,
Grant,Rb Midrange,2,1,Grixis,
Grant,Rb Midrange,2,1,Grixis,
Grant,Rb Midrange,2,1,Esper Legends,Superfriends
Noah,White,1,2,BW Midrange,I think this deck is just tailored to beat mono white
Noah,White,2,0,white aggro,
Noah,White,2,1,red,
Noah,White,2,0,Soliders,Guy needs to Kill himself
Grant,Rb Midrange,0,2,Esper Legends,shit draws
Grant,Rb Midrange,1,2,Esper Legends,horrific misplays on my part
Grant,Rb Midrange,1,2,Atraxa,
Grant,Rb Midrange,0,2,Domain,wasn't feeling it
Grant,Rb Midrange,0,2,Grixis,
Grant,Rb Midrange,2,1,Grixis,I want to rip up every corpse appraiser
Grant,Rb Midrange,1,2,White,I think Rb sucks
Grant,Rb Midrange,1,2,Red Midrange,would have won if I knew how to draw cards
Noah,White,0,2,Toxic ,Seems like a tough mu
Noah,White,1,2,Esper Vehicles,
Grant,Rb Midrange,2,1,Esper,"think it was midrange, not legends."
Grant,Rb Midrange,0,2,Rb Midrange,"absolutely terrible, miserable, no good, dogshit luck on this one."
Grant,Rb Midrange,0,2,White,they could train slugs to play this deck
Grant,Rb Midrange,2,0,Domain,invoke despair good closer
Grant,Rb Midrange,0,2,Atraxa,shit draws
Grant,Rb Midrange,1,2,White,shit draws
noah,White,2,0,Esper,wraths good
noah,White,1,2,Mono red,didnt draw lands
Noah,White,2,0,Grixis,Sucka Fucka Ding Dong
Noah,White,0,2,White,I boarded like a dummy
Noah,White,2,0,Esper,stone rained him 4x he rage quit lmao
Noah,White,2,0,5c Atraxa (Ramp),This deck does not have enough threats to beat mono white. MU must be like 90/10
